Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Salgado;CC:ED:DC:57:C0:A1;;11;No;WPA2,AES-CCM;No;130.0;0;99;0;11;0;0;11;;;Sun Aug 27 17:54:41 2023;Sun Aug 27 17:56:42 2023;-10;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Procase;E4:AB:89:F6:48:CE;;1;No;WPA2,AES-CCM;No;720.0;0;74;0;1448;0;0;1448;;;Sun Aug 27 17:54:41 2023;Sun Aug 27 17:56:43 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Bryan;F4:6F:ED:CB:84:00;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;41;0;20;0;0;20;;;Sun Aug 27 17:54:41 2023;Sun Aug 27 17:56:43 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Kiven;CC:ED:DC:51:0E:17;;1;No;WPA2,AES-CCM;No;130.0;0;56;0;289;0;0;289;;;Sun Aug 27 17:54:41 2023;Sun Aug 27 17:56:43 2023;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;XD;6C:D8:19:A6:94:90;;8;No;WPA2,AES-CCM;No;130.0;0;87;0;18;0;0;18;;;Sun Aug 27 17:54:41 2023;Sun Aug 27 17:56:44 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Terry;6C:A4:D1:8B:4B:00;;4;No;WPA2,WPA,AES-CCM;No;270.0;0;6;0;0;0;0;0;;;Sun Aug 27 17:54:43 2023;Sun Aug 27 17:56:09 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;lorenzo;78:29:ED:08:52:97;;11;No;WPA2,AES-CCM;No;130.0;0;34;0;3;0;0;3;;;Sun Aug 27 17:54:43 2023;Sun Aug 27 17:56:42 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;fh_8c7a58;6C:A4:D1:8C:7A:58;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;62;0;35;0;0;35;;;Sun Aug 27 17:54:43 2023;Sun Aug 27 17:56:42 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;JOAKIN;80:78:71:4D:19:3B;;11;No;WPA2,AES-CCM;No;130.0;0;31;0;1;0;0;1;;;Sun Aug 27 17:54:44 2023;Sun Aug 27 17:56:38 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Red Comadre Daira;60:E3:27:57:D6:6C;;6;No;WPA2,AES-CCM;No;135.0;0;24;0;0;0;0;0;;;Sun Aug 27 17:54:44 2023;Sun Aug 27 17:56:38 2023;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Francisca;68:59:11:1A:9F:E8;;12;No;WPA2,AES-CCM;No;270.0;0;12;0;0;0;0;0;;;Sun Aug 27 17:54:44 2023;Sun Aug 27 17:56:39 2023;-33;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Sacha;46:48:B9:05:FC:3E;;1;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Sun Aug 27 17:54:44 2023;Sun Aug 27 17:54:44 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;movistar2,4GHZ_13B602;78:29:ED:13:B6:02;;1;No;WPA2,AES-CCM;No;130.0;0;75;0;73;0;0;73;;;Sun Aug 27 17:54:44 2023;Sun Aug 27 17:56:43 2023;-17;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;MundoPacifico_Bbgeuk;30:FB:B8:B3:47:80;;3;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;12;0;0;0;0;0;;;Sun Aug 27 17:54:46 2023;Sun Aug 27 17:56:37 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;Olifer;58:AE:F1:71:A5:30;;9;No;WPA2,WPA,AES-CCM;No;270.0;0;55;0;3;0;0;3;;;Sun Aug 27 17:54:46 2023;Sun Aug 27 17:56:41 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;Roberto ;78:29:ED:13:99:1F;;11;No;WPA2,AES-CCM;No;130.0;0;87;0;2;0;0;2;;;Sun Aug 27 17:54:47 2023;Sun Aug 27 17:56:42 2023;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Mywentz 2.4;80:69:33:EC:C2:54;;6;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;22;0;4;0;0;4;;;Sun Aug 27 17:54:51 2023;Sun Aug 27 17:56:42 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;FamiliaRomeroj;CC:ED:DC:33:68:45;;11;No;WPA2,AES-CCM;No;130.0;0;1;0;3;0;0;3;;;Sun Aug 27 17:54:58 2023;Sun Aug 27 17:56:27 2023;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Rodolfo;E4:AB:89:6D:33:50;;11;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sun Aug 27 17:54:58 2023;Sun Aug 27 17:55:48 2023;-34;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;Xiaomi 11 Lite 5G NE;D6:59:60:0F:65:2C;;11;No;WPA2,AES-CCM;No;360.0;0;7;0;0;0;0;0;;;Sun Aug 27 17:55:02 2023;Sun Aug 27 17:56:42 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;Otra vez tu;88:DE:7C:71:7A:1F;;11;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Sun Aug 27 17:55:27 2023;Sun Aug 27 17:55:48 2023;-34;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
